year,vot_growth
2011,1
2012,1.04
2013,1.0816
2014,1.124864
2015,1.165359104
2016,1.207312032
2017,1.250775265
2018,1.295803174
2019,1.342452089
2020,1.371986035
2021,1.402169727
2022,1.433017461
2023,1.464543846
2024,1.49676381
2025,1.531189378
2026,1.566406733
2027,1.602434088
2028,1.639290072
2029,1.676993744
2030,1.7155646
2031,1.755022586
2032,1.795388105
2033,1.836682032
2034,1.878925719
2035,1.92214101
2036,1.966350253
2037,2.011576309
2038,2.057842564
2039,2.105172943
2040,2.153591921
2041,2.203124535
2042,2.253796399
2043,2.305633717
2044,2.358663292
2045,2.412912548
2046,2.468409536
2047,2.525182956
2048,2.583262164
2049,2.642677194
2050,2.703458769
2051,2.765638321
2052,2.829248002
2053,2.894320706
2054,2.960890082
2055,3.028990554
2056,3.098657337
2057,3.169926456
2058,3.242834764
2059,3.317419964
2060,3.393720623
2061,3.471776197
2062,3.55162705
2063,3.633314472
2064,3.716880705
2065,3.802368961
2066,3.889823447
2067,3.979289386
2068,4.070813042
2069,4.164441742
2070,4.260223902
2071,4.358209052
2072,4.45844786
2073,4.560992161
2074,4.665894981
2075,4.773210565
2076,4.882994408
2077,4.99530328
2078,5.110195255
2079,5.227729746
2080,5.34796753
2081,5.470970783
2082,5.596803111
2083,5.725529583
2084,5.857216763
2085,5.991932749
2086,6.129747202
2087,6.270731388
2088,6.41495821
2089,6.562502249
2090,6.7134398
2091,6.867848916
2092,7.025809441
2093,7.187403058
2094,7.352713328
2095,7.521825735
2096,7.694827727
2097,7.871808764
2098,8.052860366
2099,8.238076154
