vehicle,purpose,flow_group,prop
car,business,1,1.24
car,commute,1,1.21
car,other,1,1.64
lgv,business,1,1.36
lgv,commute,1,1.4
lgv,other,1,1.47
ogv1,business,1,1.09
ogv1,commute,1,1.25
ogv1,other,1,1.29
ogv2,business,1,1.03
ogv2,commute,1,1.11
ogv2,other,1,1.13
psv,business,1,1.35
psv,commute,1,2.5
psv,other,1,9.35
car,business,2,1.25
car,commute,2,1.22
car,other,2,1.65
lgv,business,2,1.32
lgv,commute,2,1.41
lgv,other,2,1.45
ogv1,business,2,1.09
ogv1,commute,2,1.28
ogv1,other,2,1.33
ogv2,business,2,1.03
ogv2,commute,2,1.14
ogv2,other,2,1.12
psv,business,2,1.35
psv,commute,2,2.5
psv,other,2,9.35
car,business,3,1.26
car,commute,3,1.23
car,other,3,1.66
lgv,business,3,1.37
lgv,commute,3,1.4
lgv,other,3,1.49
ogv1,business,3,1.09
ogv1,commute,3,1.24
ogv1,other,3,1.26
ogv2,business,3,1.03
ogv2,commute,3,1.11
ogv2,other,3,1.11
psv,business,3,1.35
psv,commute,3,2.5
psv,other,3,9.35
car,business,4,1.26
car,commute,4,1.23
car,other,4,1.68
lgv,business,4,1.38
lgv,commute,4,1.4
lgv,other,4,1.48
ogv1,business,4,1.09
ogv1,commute,4,1.24
ogv1,other,4,1.27
ogv2,business,4,1.03
ogv2,commute,4,1.08
ogv2,other,4,1.16
psv,business,4,1.35
psv,commute,4,2.5
psv,other,4,9.35
car,business,6,1.33
car,commute,6,1.2
car,other,6,1.7
lgv,business,6,1.42
lgv,commute,6,1.95
lgv,other,6,2.05
ogv1,business,6,1.09
ogv1,commute,6,1.25
ogv1,other,6,1.29
ogv2,business,6,1.03
ogv2,commute,6,1.11
ogv2,other,6,1.13
psv,business,6,1.35
psv,commute,6,2.5
psv,other,6,9.35
car,business,7,1.34
car,commute,7,1.23
car,other,7,1.83
lgv,business,7,1.42
lgv,commute,7,1.95
lgv,other,7,2.05
ogv1,business,7,1.09
ogv1,commute,7,1.25
ogv1,other,7,1.29
ogv2,business,7,1.03
ogv2,commute,7,1.11
ogv2,other,7,1.13
psv,business,7,1.35
psv,commute,7,2.5
psv,other,7,9.35
car,business,8,1.38
car,commute,8,1.22
car,other,8,1.85
lgv,business,8,1.42
lgv,commute,8,1.95
lgv,other,8,2.05
ogv1,business,8,1.09
ogv1,commute,8,1.25
ogv1,other,8,1.29
ogv2,business,8,1.03
ogv2,commute,8,1.11
ogv2,other,8,1.13
psv,business,8,1.35
psv,commute,8,2.5
psv,other,8,9.35
car,business,9,1.38
car,commute,9,1.22
car,other,9,1.85
lgv,business,9,1.42
lgv,commute,9,1.95
lgv,other,9,2.05
ogv1,business,9,1.09
ogv1,commute,9,1.25
ogv1,other,9,1.29
ogv2,business,9,1.03
ogv2,commute,9,1.11
ogv2,other,9,1.13
psv,business,9,1.35
psv,commute,9,2.5
psv,other,9,9.35
