year,vot
2011,23
2012,23.9
2013,24.8
2014,25.8
2015,26.8
2016,27.7
2017,28.7
2018,29.8
2019,30.8
2020,31.5
2021,32.2
2022,32.9
2023,33.6
2024,34.4
2025,35.2
2026,36
2027,36.8
2028,37.7
2029,38.5
2030,39.4
2031,40.3
2032,41.2
2033,42.2
2034,43.2
2035,44.2
2036,45.2
2037,46.2
2038,47.3
2039,48.4
2040,49.5
2041,50.6
2042,51.8
2043,53
2044,54.2
2045,55.4
2046,56.7
2047,58
2048,59.3
2049,60.7
2050,62.1
2051,63.5
2052,65
2053,66.5
2054,68
2055,69.6
2056,71.2
2057,72.8
2058,74.5
2059,76.2
2060,78
2061,79.8
2062,81.6
2063,83.5
2064,85.4
2065,87.4
2066,89.4
2067,91.4
2068,93.5
2069,95.7
2070,97.9
2071,100.1
2072,102.4
2073,104.8
2074,107.2
2075,109.7
2076,112.2
2077,114.8
2078,117.4
2079,120.1
2080,122.9
2081,125.7
2082,128.6
2083,131.5
2084,134.6
2085,137.7
2086,140.8
2087,144.1
2088,147.4
2089,150.8
2090,154.2
